,UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
357,BA,Medeiros Neto,39,60,413,871
358,BA,Miguel Calmon,25,30,377,944
359,BA,Milagres,11,28,189,281
360,BA,Mirangaba,24,8,162,302
361,BA,Mirante,6,8,75,145
362,BA,Monte Santo,36,93,470,537
363,BA,Morpará,8,5,89,91
364,BA,Morro do Chapéu,130,64,608,1097
365,BA,Mortugaba,12,23,258,283
366,BA,Mucugê,36,48,310,332
367,BA,Mucuri,163,121,1004,1591
368,BA,Mulungu do Morro,20,16,110,157
369,BA,Mundo Novo,22,15,211,447
370,BA,Muniz Ferreira,5,11,67,126
371,BA,Muquém de São Francisco,20,11,120,86
372,BA,Muritiba,70,75,506,804
373,BA,Mutuípe,36,40,283,586
374,BA,Nazaré,55,43,468,1230
375,BA,Nilo Peçanha,8,9,143,196
376,BA,Nordestina,13,18,157,153
377,BA,Nova Canaã,9,16,171,212
378,BA,Nova Fátima,6,25,185,280
379,BA,Nova Ibiá,4,3,64,106
380,BA,Nova Itarana,5,14,92,115
381,BA,Nova Redenção,8,3,88,83
382,BA,Nova Soure,37,54,261,418
383,BA,Nova Viçosa,115,91,793,1660
384,BA,Novo Horizonte,22,22,138,172
385,BA,Novo Triunfo,3,4,132,90
386,BA,Olindina,24,52,242,364
387,BA,Oliveira dos Brejinhos,63,23,459,492
388,BA,Ouriçangas,14,5,60,111
389,BA,Ourolândia,41,56,328,559
390,BA,Palmas de Monte Alto,20,26,277,439
391,BA,Palmeiras,14,33,212,504
392,BA,Paramirim,83,108,815,635
393,BA,Paratinga,39,19,395,244
394,BA,Paripiranga,43,64,347,338
395,BA,Pau Brasil,11,6,121,210
396,BA,Paulo Afonso,326,403,2535,3904
397,BA,Pé de Serra,8,13,199,429
398,BA,Pedrão,4,9,61,75
399,BA,Pedro Alexandre,6,5,82,54
400,BA,Piatã,14,39,282,376
401,BA,Pilão Arcado,11,62,433,250
402,BA,Pindaí,55,22,171,195
403,BA,Pindobaçu,22,46,274,400
404,BA,Pintadas,14,12,158,293
405,BA,Piraí do Norte,3,6,86,150
406,BA,Piripá,7,23,110,580
407,BA,Piritiba,21,24,251,454
408,BA,Planaltino,8,11,98,94
409,BA,Planalto,33,31,331,659
410,BA,Poções,79,93,865,1746
411,BA,Pojuca,139,82,746,1482
412,BA,Ponto Novo,13,21,211,335
413,BA,Porto Seguro,841,729,7644,10567
414,BA,Potiraguá,16,16,148,237
415,BA,Prado,60,100,696,1419
416,BA,Presidente Dutra,16,15,157,131
417,BA,Presidente Jânio Quadros,9,20,107,269
418,BA,Presidente Tancredo Neves,25,44,519,568
419,BA,Queimadas,27,42,444,405
420,BA,Quijingue,14,27,190,265
421,BA,Quixabeira,9,13,89,178
422,BA,Rafael Jambeiro,24,23,198,229
423,BA,Remanso,52,122,675,1173
424,BA,Retirolândia,14,20,258,411
425,BA,Riachão das Neves,54,32,296,213
426,BA,Riachão do Jacuípe,64,82,780,1370
427,BA,Riacho de Santana,19,36,456,387
428,BA,Ribeira do Amparo,8,6,77,116
429,BA,Ribeira do Pombal,115,129,1231,1527
430,BA,Ribeirão do Largo,9,12,71,118
431,BA,Rio de Contas,23,24,239,498
432,BA,Rio do Antônio,22,14,197,221
433,BA,Rio do Pires,9,13,213,150
434,BA,Rio Real,45,115,556,803
435,BA,Rodelas,14,9,118,148
436,BA,Ruy Barbosa,49,32,507,680
437,BA,Salinas da Margarida,12,19,207,272
438,BA,Salvador,16302,10611,83557,183625
439,BA,Santa Bárbara,27,30,310,380
440,BA,Santa Brígida,13,6,106,223
441,BA,Santa Cruz Cabrália,112,59,916,1399
442,BA,Santa Cruz da Vitória,5,3,69,131
443,BA,Santa Inês,11,10,82,335
444,BA,Santa Luzia,9,8,112,226
445,BA,Santa Maria da Vitória,85,74,1021,899
446,BA,Santa Rita de Cássia,61,19,416,442
447,BA,Santa Teresinha,25,28,84,197
448,BA,Santaluz,59,83,831,776
449,BA,Santana,34,16,408,533
450,BA,Santanópolis,7,7,101,97
451,BA,Santo Amaro,100,139,865,1599
452,BA,Santo Antônio de Jesus,423,541,3502,6082
453,BA,Santo Estêvão,89,68,1101,1264
454,BA,São Desidério,216,83,760,662
455,BA,São Domingos,18,20,218,217
456,BA,São Felipe,31,48,484,1010
457,BA,São Félix,44,6,94,257
458,BA,São Félix do Coribe,32,40,404,468
459,BA,São Francisco do Conde,114,38,428,820
460,BA,São Gabriel,11,19,315,163
461,BA,São Gonçalo dos Campos,125,110,866,1288
462,BA,São José da Vitória,3,7,51,104
463,BA,São José do Jacuípe,16,21,119,162
464,BA,São Miguel das Matas,12,11,95,249
465,BA,São Sebastião do Passé,98,108,590,1146
466,BA,Sapeaçu,33,37,304,524
467,BA,Sátiro Dias,17,22,214,222
468,BA,Saubara,13,46,219,282
469,BA,Saúde,9,16,135,335
470,BA,Seabra,115,136,1164,1256
471,BA,Sebastião Laranjeiras,6,16,112,156
472,BA,Senhor do Bonfim,193,350,2228,2841
473,BA,Sento Sé,146,59,319,308
474,BA,Serra do Ramalho,44,25,411,530
475,BA,Serra Dourada,13,14,238,296
476,BA,Serra Preta,8,18,147,333
477,BA,Serrinha,183,295,2030,2598
478,BA,Serrolândia,9,41,226,432
479,BA,Simões Filho,1050,580,3948,6200
480,BA,Sítio do Mato,10,10,107,75
481,BA,Sítio do Quinto,11,15,138,157
482,BA,Sobradinho,38,44,353,654
483,BA,Souto Soares,15,18,142,275
484,BA,Tabocas do Brejo Velho,22,17,175,188
485,BA,Tanhaçu,36,45,492,494
486,BA,Tanque Novo,40,85,451,364
487,BA,Tanquinho,12,7,158,207
488,BA,Taperoá,16,29,218,402
489,BA,Tapiramutá,19,13,172,195
490,BA,Teixeira de Freitas,613,776,4638,9074
491,BA,Teodoro Sampaio,15,2,79,284
